antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_support,consequent_support
on-air,misc,0.26424596030561165,0.18631992623166768,0.07315085184859928,0.2768286476886807,1.4857704878246663,1.0,0.02391656401744153,1.1251552915747274,0.44437205873965946,0.1938207149297577,0.11123379369221509,0.33471874851882333,0.26424596030561165,0.18631992623166768
misc,on-air,0.18631992623166768,0.26424596030561165,0.07315085184859928,0.392608849348966,1.4857704878246663,1.0,0.02391656401744153,1.2113348027967945,0.40181460488622456,0.1938207149297577,0.17446440266460883,0.33471874851882333,0.18631992623166768,0.26424596030561165
local,misc,0.2082034337402301,0.18631992623166768,0.05323504873979099,0.2556876598212638,1.3723044281551786,1.0,0.014442600324131409,1.0931970758041423,0.34263689274760956,0.15598263107108395,0.08525185244900838,0.27070307695004747,0.2082034337402301,0.18631992623166768
misc,local,0.18631992623166768,0.2082034337402301,0.05323504873979099,0.2857184940788311,1.3723044281551786,1.0,0.014442600324131409,1.1085217238526064,0.33342184956678367,0.15598263107108395,0.09789769701169698,0.27070307695004747,0.18631992623166768,0.2082034337402301
business,frontpage,0.10831705014490207,0.5049124001053833,0.06955848774918767,0.642174871418075,1.2718540310834967,1.0,0.01486786598819001,1.3836021015535391,0.2397110443002327,0.12794225284571314,0.2772488572565929,0.389969174139971,0.10831705014490207,0.5049124001053833
news,frontpage,0.28174124001053835,0.5049124001053833,0.16682675419337842,0.592127564239933,1.1727332585144403,1.0,0.024572108490990646,1.2138295125828371,0.20506700686745186,0.2691505612007704,0.17616107564219766,0.4612674433476953,0.28174124001053835,0.5049124001053833
frontpage,news,0.5049124001053833,0.28174124001053835,0.16682675419337842,0.3304073224554576,1.1727332585144403,1.0,0.024572108490990646,1.0726801293935624,0.29750527805325455,0.2691505612007704,0.06775564066302972,0.4612674433476953,0.5049124001053833,0.28174124001053835
living,frontpage,0.09291845964696584,0.5049124001053833,0.054371212786510935,0.5851497430444799,1.1589133935358882,1.0,0.007455530312066208,1.1934127835135933,0.1511691569365092,0.10004645807663562,0.1620669613946617,0.34641709521803626,0.09291845964696584,0.5049124001053833
tech,news,0.16667032581013436,0.28174124001053835,0.05228275665232283,0.3136896529012712,1.1133962954430734,1.0,0.005324852385615142,1.046550970746383,0.12221717693441067,0.13198423200293746,0.04448036650635714,0.24962988810928244,0.16667032581013436,0.28174124001053835
sports,frontpage,0.17208219899885835,0.5049124001053833,0.0961924782646878,0.5589914519009951,1.1071058104026057,1.0,0.00930604215276204,1.122625858452683,0.1168521428876592,0.16562005339381483,0.10923127908500019,0.3747523271397443,0.17208219899885835,0.5049124001053833
